time,l_shoulder,r_shoulder,l_hip,r_hip
131,33.0015118161,60.8766762248,19.1922796479,-43.0571053653
131.02,36.9154153705,56.9799192077,23.2220341759,-42.7483142889
131.04,38.5006555214,54.3021907397,26.6239765581,-39.9903409002
131.06,41.4276573738,50.5536746578,29.5261404375,-37.6645789237
131.08,44.167405942,48.5855134672,30.5679627802,-36.6803077438
131.1,48.7494664057,46.7885226333,31.1246201873,-32.5900501603
131.12,53.6424930112,45.0899237794,31.276645707,-27.1994050246
131.14,64.0490747343,37.5496577985,33.0882526857,-21.5279198954
131.16,69.9030410645,35.0213335063,31.5719386311,-12.9127470375
131.18,71.7028604164,34.0247367818,34.6651848108,-12.1238379997
131.2,75.7677287534,34.7661557025,15.8281322745,-3.4229843582
131.22,81.3467640632,29.2941542898,-11.059380782,-2.0980139507
131.24,81.3851733028,28.8173427945,-36.3428020988,1.094674737
131.26,81.0261954665,29.1253123389,-48.2208530032,5.0060009295
131.28,79.237089053,31.851490482,-52.0033402343,9.5620443803
131.3,76.5984159233,35.8847823054,-49.2043092501,13.0561994717
131.32,75.474425255,38.2583239486,-47.6242998809,15.7658234248
131.34,72.8880446064,42.8018678945,-45.7434779031,17.9681212891
131.36,70.2675878851,47.5367496457,-40.4555706791,21.8584655346
131.38,67.8349509151,52.1286558526,-38.1482618902,24.3074558351
131.4,64.3895080677,58.0411956693,-37.1881654751,27.7220766188
131.42,60.531085057,63.3413349547,-34.7073566019,29.9898732937
131.44,57.7235602884,67.0677202125,-31.4898923864,31.6584536802
131.46,54.7899904031,70.7818218785,-28.1353011683,33.8343742454
131.48,46.6260212185,79.3380564763,-23.5561772845,37.0807249177
131.5,43.4979056116,80.5054715456,-19.2035191303,36.6675774238
131.52,39.5019460656,82.7022764808,-16.5091951432,27.4604152076
131.54,37.2073641176,80.5885429284,-8.251214179,7.4215711275
131.56,31.4255659707,81.1238657045,-4.5851546424,-25.3461175106
131.58,31.5232662952,77.5128407465,-0.3683923514,-43.1190448201
131.6,28.8184078279,76.6651028265,2.5660566043,-48.851548739
131.62,28.0021779148,73.8520110444,7.8041035563,-49.0616151012
131.64,28.6130513663,69.9913348009,12.2050250828,-49.3205795
131.66,29.9933004411,65.1404877857,16.1337753739,-48.7174135736
131.68,33.7702944738,60.305891143,19.6361886371,-45.2600205042
131.7,36.9466362792,56.8195412975,29.6958370381,-46.5336536915
131.72,42.2652797362,51.9818611745,35.1725690996,-43.9620614523
131.74,48.2870661558,46.6498072919,37.5207088521,-38.2840992427
131.76,55.5210459668,44.3077732076,33.0533741795,-29.1008023063
131.78,60.9410023478,40.7837816145,30.0004314791,-21.5153478316
131.8,65.5259396152,36.5253303776,28.1656473877,-14.989552709
131.82,69.4390346678,31.9347610853,26.1410370477,-11.2521203297
131.84,73.6689849037,28.1715532927,15.9207676282,-10.3494272753
131.86,79.209541283,26.1596594276,3.4525076537,-8.7980797558
131.88,81.5660969769,25.5288246464,-13.9110773417,-5.5462286777
131.9,81.9573405059,26.4068474915,-32.2983058164,-0.6095603764
131.92,80.6565648012,30.0941229481,-42.0027985732,6.8119057011
131.94,79.1565627845,33.7049352066,-45.0451425924,12.323665047
131.96,76.1952394132,38.3404230007,-45.8628815438,15.023224786
131.98,74.0472112154,42.0925711167,-45.4252433522,17.977411228
132,70.3440674581,47.4025260262,-41.8389520097,20.4510370132
132.02,67.7360404649,51.4363672613,-40.167178138,24.1600035747
132.04,64.0978914556,57.157250778,-38.2841883686,27.3534575663
132.06,60.7079518667,61.6385308121,-35.5193861273,29.3801826719
132.08,57.6998403665,66.2476736566,-32.4066548345,31.4589223431
132.1,53.9136330063,70.7682587522,-28.0963093567,32.7336744884
132.12,46.3893871146,78.9265306555,-24.5818726117,36.9457016173
132.14,43.3085670126,80.3193739425,-20.8541807781,34.5737841499
132.16,43.1114877613,78.3292947064,-18.913623803,26.7943049021
132.18,43.3019659334,74.603911488,-9.0906438754,11.8313266621
132.2,40.8620828305,72.4731443052,-4.3894748865,-15.5597982152
132.22,37.1328570742,72.1772480524,-1.4908528327,-36.4892837858
132.24,36.0240356001,70.8694019396,2.3788078662,-42.7120766991
132.26,35.6038621054,67.5326542043,7.6405911284,-45.5169144699
132.28,31.5896238132,68.9064255609,10.5579827429,-47.9803847554
132.3,28.657755439,70.736982632,13.3014010735,-47.5820025763
132.32,29.9770285851,66.9063475898,10.2907466867,-42.4986697239
132.34,29.8694208709,63.8540575543,17.8911098653,-43.0825460101
132.36,37.0272233633,58.2625743088,20.6100737212,-38.2849558321
132.38,42.5232661699,53.2090621665,23.7255609524,-35.3081179987
132.4,46.7419655782,49.5234741618,26.5028825279,-32.1402577809
132.42,49.9918536182,46.7339072595,28.8837013577,-30.2856148419
132.44,55.7439200731,42.5254535815,30.3154293127,-27.067914682
132.46,62.4814629683,37.9305826187,31.9229247441,-23.2083793753
132.48,68.6215610358,34.5767184121,31.035547012,-18.5604272114
132.5,68.7518180996,35.9592742316,28.2822960907,-10.9266494032
132.52,69.7278298151,36.3357253989,24.905398279,-11.4018405219
132.54,72.6631800555,37.4656375403,3.9944741135,-3.2304861818
132.56,76.4204138231,34.6377969786,-19.0248146578,-1.3886983482
132.58,76.5014964387,37.0653107228,-38.7885642646,6.3622356534
132.6,75.7138703064,39.510916746,-48.4719584698,9.0351242288
132.62,78.3970018806,36.9100502251,-53.8865394667,8.647745315
132.64,80.5192493342,33.1561657869,-54.3926629731,10.0507259353
132.66,80.8026190041,32.365181197,-54.6184090736,13.5932286301
132.68,79.2200088125,34.9487356045,-48.3490530871,16.2407655881
132.7,77.2772148242,37.2808687023,-47.6430643099,18.7876017394
132.72,74.9042340621,42.1716604218,-44.5713997535,19.756055672
132.74,70.7688747565,48.2914387104,-41.2873880328,19.5631385843
132.76,67.7917007762,53.0646951851,-42.7045973183,24.3156712191
132.78,66.1873665062,56.4281972701,-40.472244829,29.0372201403
132.8,65.8546116536,58.2270416869,-37.8114047832,31.1381289872
132.82,63.8475209755,61.9259780833,-37.1091971241,30.8699412729
