time,l_shoulder,r_shoulder,l_hip,r_hip
296.96,56.9824718662,39.4590305748,-33.7813287704,-11.8232624928
296.98,59.2042681148,47.1878296519,-40.2132575516,-19.0126346557
297,59.8164713087,52.4926104719,-43.2903838697,-25.2519562435
297.02,59.4286375612,56.0652452544,-45.7121598036,-29.4973724848
297.04,57.5876229736,59.6016823751,-48.5948096784,-33.7154527939
297.06,54.0321378681,60.4486343327,-47.3398846078,-38.3335646173
297.08,49.8636099579,60.310405935,-45.7503346562,-40.8688566189
297.1,46.2937417167,61.7426702511,-46.3570470701,-44.6424304349
297.12,42.4590076925,61.5844689019,-44.278292129,-48.2494152336
297.14,37.3857004569,58.3195426984,-40.1712710268,-47.4646493557
297.16,32.1763408714,56.7354016164,-37.3002504087,-47.7234988321
297.18,28.0826515053,55.5577879901,-33.5660139669,-49.0127304447
297.2,24.3638255187,53.8396717634,-30.2311697913,-48.3202482487
297.22,21.0574339023,52.0724491124,-27.8030112809,-47.2953364232
297.24,19.6975992363,50.4999551457,-24.4482684529,-46.8093844771
297.26,17.7033007761,45.9144301938,-19.2682311844,-42.1553025057
297.28,15.3060414004,41.5407451098,-14.5896149821,-36.245395513
297.3,16.3214007993,39.4683842922,-11.6374328537,-31.5439178771
297.32,16.2204266308,36.5594400933,-8.8363500899,-26.0839542079
297.34,15.4556380421,33.69851234,-7.2031089366,-21.9531533671
297.36,16.527404587,31.4400035205,-5.3678980864,-19.2443285339
297.38,15.3731187595,25.2695205912,-1.2409583764,-12.9859270799
297.4,13.9277563253,20.9402805085,1.3387436655,-8.8474510291
297.42,13.0126796471,18.1913494842,4.3478437797,-5.2754262767
297.44,12.7976932819,13.6400480672,6.6882474894,0.9305333118
297.46,10.6117251928,10.3233472918,8.7793243656,5.9555940181
297.48,10.566257929,8.615875877,10.3220780634,7.7220759354
297.5,10.4498246694,5.1133995251,11.9129245507,11.037632895
297.52,8.7959672804,1.4898386729,13.6068849565,14.9165267239
297.54,7.8382718849,-1.4269057145,16.0901378521,17.9502838081
297.56,4.9425357069,-6.0444965612,20.2519964242,22.6124094392
297.58,0.3108841989,-10.6880294101,24.660354528,27.6913324128
297.6,1.2859012992,-11.1982793264,24.9364155279,28.401159504
297.62,2.1738332932,-12.8036514256,25.0562645449,30.715277857
297.64,3.1817711132,-12.9832639436,23.6404661434,32.2596606051
297.66,4.9081600089,-12.4590840101,23.2539188679,31.7858683333
297.68,5.0143977304,-12.1969013474,23.2045911632,32.2361060128
297.7,6.5194583461,-11.2770359954,21.0208753661,32.4645914473
297.72,8.7634057684,-8.1786157932,19.3171793961,29.0361956422
297.74,10.3113110356,-7.6972015925,18.1595542948,28.5995854954
297.76,12.0956046075,-6.4367625876,15.4689489085,28.3824616763
297.78,17.2511287681,-2.4739506972,11.2879365154,25.1232487953
297.8,22.8969213966,1.6490102879,6.0358446769,21.9893442109
297.82,28.2608052584,8.9800096953,-1.6348750725,15.4738191049
297.84,32.9811518724,14.3241470254,-6.3376803932,9.7816640352
297.86,38.5084942149,20.7111018939,-13.0346069005,4.2767258258
297.88,42.1711320189,25.2704713443,-18.4869700358,0.6554185622
297.9,48.1300382024,32.2801811433,-24.908287546,-6.3508460018
297.92,48.8090759745,35.384306234,-27.2659896668,-9.7146176222
297.94,49.1585099805,40.7518594604,-31.4595418898,-14.1149017185
297.96,50.0639312998,46.2479345121,-34.4816449113,-20.1583886659
297.98,48.4506757912,48.6643237479,-35.4344485816,-23.8511102676
298,44.6424337407,50.066264495,-35.6296570325,-27.7873747483
298.02,42.5399337671,51.3740826184,-35.2958337102,-32.3038441418
298.04,39.5379887602,51.1759496467,-34.2230573123,-34.0375892777
298.06,37.617661907,53.09524857,-35.7134819443,-36.9433632754
298.08,34.0119539373,53.7654623123,-33.9839343829,-40.811356533
298.1,28.8558261716,52.0941309712,-31.5572074229,-42.9144816476
298.12,20.5250957405,48.3369464771,-25.8472664991,-42.4052461923
298.14,15.5468168133,44.8936052229,-20.2029251788,-42.3461272992
298.16,11.7425376673,40.7496197075,-14.8237204974,-39.2283573306
298.18,10.5153746286,39.9860727417,-13.0849902427,-37.4566747326
298.2,10.1999853197,38.7151072597,-9.7087920308,-35.7167608694
298.22,8.5993536062,34.6251108077,-5.2550116856,-30.7517822291
298.24,5.4354566163,28.8898728339,-0.0784161384,-23.5078352417
298.26,6.0797345881,26.0747828239,2.8195237243,-19.1444874881
298.28,3.9900686497,21.3516976067,7.5274858198,-13.5155562584
298.3,1.7953553843,17.3946737197,10.9254553327,-8.2214150676
298.32,0.2377816423,13.46310179,14.8077787222,-3.59152182
298.34,-0.3285320389,9.8869146843,16.7385441039,1.5461452309
298.36,-1.4524176095,6.0530516933,18.3155127773,6.4680399537
298.38,-0.9178295347,1.7187279093,21.012153846,10.9075323089
298.4,-1.354999447,-2.129499177,23.0693721594,15.299867883
298.42,-2.9693843699,-4.0536276998,24.1674447883,18.5118458512
298.44,-2.1794899639,-5.2730330186,24.7626150382,20.6261402881
298.46,-2.7386718303,-7.4337043925,25.8012114244,24.5020393559
298.48,-3.8735387601,-8.4255789296,25.7348272512,27.4362595525
298.5,-3.5777763791,-9.2740680349,26.5988357617,28.1839014097
298.52,-3.6832794612,-11.2857074052,27.952177808,29.6314042031
298.54,-2.9732837924,-9.4252361015,26.1232537268,28.322167083
298.56,1.9101196254,-4.5238601395,21.5913081206,23.5290962545
298.58,4.2367264519,-2.2312807808,19.2165986206,21.7391903147
298.6,4.893235769,-1.3424948902,17.4776658846,20.4144554437
298.62,6.0803491535,-1.7605506529,18.0015811927,20.1357712814
298.64,9.8460984494,0.4080981012,14.8600385478,19.5124637914
298.66,13.8787217809,3.8401071523,10.0686114199,16.3329400409
298.68,17.8954245093,7.1038978112,6.8934335206,13.4499435056
298.7,21.4522957213,9.9912069598,3.1983174115,11.5489362488
298.72,25.3161355437,11.3688215029,-0.8538073989,11.0688081365
298.74,29.9207889312,14.6440789267,-4.6564507085,7.2780304514
298.76,34.8679057027,15.9632651205,-8.3979039006,6.208351162
298.78,37.6226243993,19.1750343119,-12.5837707226,3.3482396907
298.8,42.7391598061,26.8376033875,-18.8191637048,-2.8236468739
298.82,48.3063736811,35.0506195784,-26.6474822568,-9.0613347994
298.84,49.1017105708,40.3802372351,-31.3413760454,-13.5247013368
298.86,50.7016860275,47.0929517641,-35.8943835244,-20.9622091726
298.88,50.9206558468,51.9103471574,-39.5689254053,-26.3652106105
298.9,46.977238629,54.3966084145,-40.768889006,-31.237705586
298.92,44.541089183,56.7919125176,-41.1651160424,-37.4681084274
298.94,41.8038095021,57.3942512963,-41.3755938611,-40.5653462363
